Alpha,AUC,MRR,NDCG@5,NDCG@10,Recall@5,Recall@10
0.0,0.6305555555555555,1.0,0.5087403079104241,0.5547710914144913,0.3333333333333333,0.5
0.0,0.3580645161290322,0.0138888888888888,0.0,0.0,0.0,0.0
0.0,0.1842105263157895,0.037037037037037,0.0,0.0,0.0,0.0
0.0,0.6242424242424243,0.5,0.360054614577234,0.360054614577234,0.4,0.4
0.0,0.4707792207792208,0.125,0.0,0.0694312219367772,0.0,0.0833333333333333
0.0,0.1666666666666666,0.3333333333333333,0.5,0.5,1.0,1.0
0.0,0.8090909090909091,0.5,0.3451913422468693,0.4233117951052935,0.2,0.5
0.0,0.6024590163934426,0.3333333333333333,0.1951900249960508,0.1951900249960508,0.25,0.25
0.0,0.8636363636363636,0.0588235294117647,0.0,0.0,0.0,0.0
0.0,0.4343220338983051,0.0204081632653061,0.0,0.0,0.0,0.0
0.0,0.5857142857142857,0.5,0.24630238874073,0.24630238874073,0.25,0.25
0.0,0.5402298850574713,0.0833333333333333,0.0,0.0,0.0,0.0
0.0,0.25,0.037037037037037,0.0,0.0,0.0,0.0
0.0,0.7538461538461538,0.0588235294117647,0.0,0.0,0.0,0.0
0.0,0.3762376237623762,0.03125,0.0,0.0,0.0,0.0
0.0,0.6675531914893617,0.25,0.2640681225725909,0.2640681225725909,0.5,0.5
0.0,0.5132075471698113,0.5,0.2139862647345275,0.2051166673279436,0.1,0.2
0.0,0.4444444444444444,0.0555555555555555,0.0,0.0,0.0,0.0
0.0,0.96,0.5,0.6309297535714575,0.6309297535714575,1.0,1.0
0.0,0.4265625,0.0555555555555555,0.0,0.0,0.0,0.0
0.0,0.6342329545454546,0.3333333333333333,0.3007851801491498,0.195189000790661,0.125,0.125
0.0,0.8571428571428572,0.5,0.6309297535714575,0.6309297535714575,1.0,1.0
0.0,0.3482758620689655,0.0079365079365079,0.0,0.0,0.0,0.0
0.0,0.3058823529411764,0.0416666666666666,0.0,0.0,0.0,0.0
0.0,0.8762376237623762,0.5,0.24630238874073,0.3638184934971571,0.25,0.5
0.0,0.7226277372262773,0.25,0.1460683498427064,0.1012286082123001,0.1111111111111111,0.1111111111111111
0.0,0.625,0.3333333333333333,0.4161811555487308,0.4161811555487308,0.6666666666666666,0.6666666666666666
